Mėn.Nr.,"Grąžintina dalis, Eur","Likutis, Eur","Priskaičiuotos palūkanos, Eur","Bendra Mokėtina suma, Eur"
12,-41.666666666666664,-500.0,-2.08,-43.74666666666666
11,-41.666666666666664,-458.3333333333333,-1.91,-43.57666666666666
10,-41.666666666666664,-416.66666666666663,-1.74,-43.406666666666666
9,-41.666666666666664,-374.99999999999994,-1.56,-43.22666666666667
8,-41.666666666666664,-333.33333333333326,-1.39,-43.056666666666665
7,-41.666666666666664,-291.6666666666666,-1.22,-42.88666666666666
6,-41.666666666666664,-249.99999999999991,-1.04,-42.70666666666666
5,-41.666666666666664,-208.33333333333326,-0.87,-42.53666666666666
4,-41.666666666666664,-166.6666666666666,-0.69,-42.35666666666666
3,-41.666666666666664,-124.99999999999994,-0.52,-42.18666666666667
2,-41.666666666666664,-83.33333333333329,-0.35,-42.016666666666666
1,-41.666666666666664,-41.66666666666662,-0.17,-41.836666666666666
Total,-500.0,0.0,-13.54,-513.54
